quadrat,lostbefore,lost1950s,present60_80,present
A1,0,1,0,0
A2,0,1,0,0
A3,1,1,0,0
A4,0,0,1,0
A5,0,1,0,0
AR1,0,1,0,0
AR2,0,1,0,0
AR3,1,1,0,0
AR4,1,1,0,0
AR5,1,1,0,0
AR6,1,1,0,0
B1,0,0,1,1
B2,0,1,1,1
B2A,0,0,1,1
B3,0,0,1,1
B4,0,1,0,0
B5,0,1,0,0
G1,1,1,0,0
G2,0,1,0,0
G3,0,1,0,0
G4,0,1,0,0
G5,0,1,0,0
G6,0,1,0,0
H1,1,1,0,0
H2,0,0,1,0
H3,0,1,0,0
I2,0,1,0,0
I4,0,0,1,1
I5,0,1,0,0
I6,0,1,0,0
I7,0,0,1,0
J1,0,1,0,0
J12,0,1,0,0
J8,0,1,0,0
K2,1,1,0,0
K3,0,1,0,0
K4,1,1,0,0
L1,1,0,0,0
L2,0,1,0,0
L5,1,1,0,0
M5,1,1,0,0
M6,1,1,0,0
N3,0,1,0,0
N3A,0,1,0,0
U1,0,1,0,0
U2,0,1,0,1
U3,0,1,1,0
U4,0,1,0,1
U5,0,1,0,1
V1,0,1,0,0
V2,0,1,0,0
V3,1,1,0,0
V4,0,1,0,0
V5,1,1,0,0
V6,1,1,0,0
