quadrat,boer5years,boerlost1950s,boerpresent2
A1,1,1,0
A2,1,1,0
A3,1,1,0
A4,1,0,1
A5,1,1,0
AR1,1,1,0
AR2,1,1,0
AR3,1,1,0
AR4,1,1,0
AR5,1,1,0
AR6,1,1,0
B1,1,0,1
B2,1,1,1
B2A,1,0,1
B3,1,0,1
B4,1,0,0
B5,1,1,0
G1,0,1,0
G2,1,1,0
G3,1,1,0
G4,1,1,0
G5,1,1,0
G6,1,1,0
H1,1,1,0
H2,1,0,1
H3,1,0,0
I2,1,1,0
I4,1,0,0
I5,1,0,0
I6,1,1,0
I7,1,0,1
J1,1,1,0
J12,1,1,0
J8,1,1,0
K2,0,NA,NA
K3,1,1,0
K4,0,NA,NA
L1,1,1,0
L2,1,1,0
L5,1,NA,0
M5,1,1,0
M6,1,1,0
N1,1,0,1
N3,1,1,0
N3A,1,1,0
N4,1,1,0
N5,1,1,0
N6,1,1,0
R1,1,1,1
R2,1,1,0
R3,1,1,0
R4,1,1,0
U1,1,1,0
U2,1,1,1
U3,1,0,1
U4,1,1,1
U5,1,1,1
V1,1,1,0
V2,1,0,0
V3,1,1,0
V4,1,1,0
V5,1,1,0
V6,1,NA,0
